SUM,000012093
TotalTime,0000:02:01
SampTime(ms),10
DateTime, 2023-07-20 16:46:01
Time(hh:mm:ss:ms),Voltage(V),Current(A),Power(W),Temperature
"00:01:28:190", 5.011, 0.570, 2.858, 37.
"00:01:28:200", 5.015, 0.514, 2.576, 37.
"00:01:28:210", 5.019, 0.386, 1.940, 37.
"00:01:28:220", 5.020, 0.356, 1.786, 37.
"00:01:28:230", 5.006, 0.628, 3.146, 37.
"00:01:28:240", 5.012, 0.566, 2.838, 37.
"00:01:28:250", 5.011, 0.519, 2.599, 37.
"00:01:28:260", 5.011, 0.585, 2.930, 37.
"00:01:28:270", 5.011, 0.516, 2.584, 37.
"00:01:28:280", 5.019, 0.357, 1.793, 37.
"00:01:28:290", 5.010, 0.574, 2.877, 37.
"00:01:28:300", 5.006, 0.644, 3.223, 37.
"00:01:28:310", 5.011, 0.571, 2.863, 37.
"00:01:28:320", 5.010, 0.556, 2.785, 37.
"00:01:28:330", 5.011, 0.572, 2.865, 37.
"00:01:28:340", 5.014, 0.519, 2.603, 37.
"00:01:28:350", 5.019, 0.355, 1.783, 37.
"00:01:28:360", 5.019, 0.355, 1.783, 37.
"00:01:28:370", 5.011, 0.568, 2.848, 37.
"00:01:28:380", 5.010, 0.582, 2.914, 37.
"00:01:28:390", 5.012, 0.548, 2.746, 37.
"00:01:28:400", 5.012, 0.544, 2.726, 37.
"00:01:28:410", 5.014, 0.509, 2.553, 37.
"00:01:28:420", 5.014, 0.503, 2.520, 37.
"00:01:28:430", 5.021, 0.360, 1.808, 37.
"00:01:28:440", 5.012, 0.543, 2.721, 37.
"00:01:28:450", 5.009, 0.616, 3.087, 37.
"00:01:28:460", 5.011, 0.569, 2.853, 37.
"00:01:28:470", 5.010, 0.537, 2.693, 37.
"00:01:28:480", 5.012, 0.503, 2.520, 37.
"00:01:28:490", 5.016, 0.453, 2.270, 37.
"00:01:28:500", 5.019, 0.359, 1.800, 37.
"00:01:28:510", 5.010, 0.524, 2.625, 37.
"00:01:28:520", 5.011, 0.559, 2.803, 37.
"00:01:28:530", 5.011, 0.533, 2.668, 37.
"00:01:28:540", 5.010, 0.593, 2.969, 37.
"00:01:28:550", 5.012, 0.508, 2.545, 37.
"00:01:28:560", 5.017, 0.451, 2.263, 37.
"00:01:28:570", 5.019, 0.359, 1.800, 37.
"00:01:28:580", 5.010, 0.578, 2.897, 37.
"00:01:28:590", 5.012, 0.544, 2.729, 37.
"00:01:28:600", 5.015, 0.520, 2.608, 37.
"00:01:28:610", 5.010, 0.578, 2.897, 37.
"00:01:28:620", 5.010, 0.570, 2.854, 37.
"00:01:28:630", 5.016, 0.452, 2.268, 37.
"00:01:28:640", 5.020, 0.357, 1.791, 37.
"00:01:28:650", 5.012, 0.570, 2.856, 37.
"00:01:28:660", 5.010, 0.557, 2.790, 37.
"00:01:28:670", 5.010, 0.557, 2.790, 37.
"00:01:28:680", 5.014, 0.526, 2.635, 37.
"00:01:28:690", 5.012, 0.504, 2.527, 37.
"00:01:28:700", 5.015, 0.493, 2.474, 37.
"00:01:28:710", 5.019, 0.356, 1.788, 37.
"00:01:28:720", 5.014, 0.483, 2.421, 37.
"00:01:28:730", 5.009, 0.619, 3.100, 37.
"00:01:28:740", 5.012, 0.551, 2.764, 37.
"00:01:28:750", 5.012, 0.535, 2.684, 37.
"00:01:28:760", 5.010, 0.508, 2.543, 37.
"00:01:28:770", 5.015, 0.501, 2.511, 37.
"00:01:28:780", 5.021, 0.359, 1.803, 37.
"00:01:28:790", 5.012, 0.546, 2.739, 37.
"00:01:28:800", 5.011, 0.550, 2.758, 37.
"00:01:28:810", 5.009, 0.602, 3.015, 37.
"00:01:28:820", 5.010, 0.594, 2.976, 37.
"00:01:28:830", 5.011, 0.548, 2.748, 37.
"00:01:28:840", 5.011, 0.554, 2.775, 37.
"00:01:28:850", 5.010, 0.585, 2.929, 37.
"00:01:28:860", 5.012, 0.500, 2.507, 37.
"00:01:28:870", 5.019, 0.357, 1.793, 37.
"00:01:28:880", 5.012, 0.530, 2.654, 37.
"00:01:28:890", 5.010, 0.593, 2.971, 37.
"00:01:28:900", 5.010, 0.593, 2.971, 37.
"00:01:28:910", 5.011, 0.547, 2.741, 37.
"00:01:28:920", 5.007, 0.578, 2.893, 37.
"00:01:28:930", 5.012, 0.510, 2.555, 37.
"00:01:28:940", 5.021, 0.359, 1.803, 37.
"00:01:28:950", 5.012, 0.533, 2.669, 37.
"00:01:28:960", 5.009, 0.604, 3.023, 37.
"00:01:28:970", 5.012, 0.530, 2.657, 37.
"00:01:28:980", 5.012, 0.530, 2.657, 37.
"00:01:28:990", 5.012, 0.550, 2.756, 37.
"00:01:29:000", 5.011, 0.522, 2.614, 37.
"00:01:29:010", 5.020, 0.401, 2.012, 37.
"00:01:29:020", 5.022, 0.338, 1.699, 37.
"00:01:29:030", 5.014, 0.495, 2.481, 37.
"00:01:29:040", 5.012, 0.537, 2.691, 37.
"00:01:29:050", 5.012, 0.492, 2.465, 37.
"00:01:29:060", 5.010, 0.562, 2.817, 37.
"00:01:29:070", 5.012, 0.493, 2.472, 37.
"00:01:29:080", 5.019, 0.401, 2.012, 37.
"00:01:29:090", 5.022, 0.343, 1.724, 37.
"00:01:29:100", 5.011, 0.557, 2.793, 37.
"00:01:29:110", 5.012, 0.522, 2.614, 37.
"00:01:29:120", 5.012, 0.501, 2.510, 37.
"00:01:29:130", 5.010, 0.548, 2.745, 37.
"00:01:29:140", 5.012, 0.517, 2.592, 37.
"00:01:29:150", 5.021, 0.397, 1.993, 37.
"00:01:29:160", 5.011, 0.522, 2.614, 37.
"00:01:29:170", 5.010, 0.555, 2.782, 37.
"00:01:29:180", 5.012, 0.530, 2.657, 37.
"00:01:29:190", 5.012, 0.530, 2.657, 37.
"00:01:29:200", 5.014, 0.526, 2.635, 37.
"00:01:29:210", 5.011, 0.557, 2.793, 37.
"00:01:29:220", 5.012, 0.480, 2.405, 37.
"00:01:29:230", 5.021, 0.339, 1.701, 37.
"00:01:29:240", 5.014, 0.518, 2.598, 37.
"00:01:29:250", 5.011, 0.577, 2.892, 37.
"00:01:29:260", 5.014, 0.519, 2.600, 37.
"00:01:29:270", 5.012, 0.541, 2.714, 37.
"00:01:29:280", 5.011, 0.554, 2.775, 37.
"00:01:29:290", 5.012, 0.526, 2.634, 37.
"00:01:29:300", 5.021, 0.327, 1.641, 37.
"00:01:29:310", 5.016, 0.490, 2.457, 37.
"00:01:29:320", 5.011, 0.580, 2.905, 37.
"00:01:29:330", 5.012, 0.528, 2.647, 37.
"00:01:29:340", 5.012, 0.559, 2.801, 37.
"00:01:29:350", 5.014, 0.500, 2.505, 37.
"00:01:29:360", 5.014, 0.488, 2.446, 37.
"00:01:29:370", 5.019, 0.366, 1.835, 37.
"00:01:29:380", 5.014, 0.493, 2.473, 37.
"00:01:29:390", 5.014, 0.578, 2.899, 37.
"00:01:29:400", 5.011, 0.526, 2.636, 37.
"00:01:29:410", 5.012, 0.556, 2.786, 37.
"00:01:29:420", 5.015, 0.497, 2.491, 37.
"00:01:29:430", 5.019, 0.397, 1.994, 37.
"00:01:29:440", 5.021, 0.327, 1.644, 37.
"00:01:29:450", 5.014, 0.495, 2.481, 37.
"00:01:29:460", 5.012, 0.535, 2.682, 37.
"00:01:29:470", 5.014, 0.511, 2.560, 37.
"00:01:29:480", 5.012, 0.577, 2.891, 37.
"00:01:29:490", 5.014, 0.514, 2.578, 37.
"00:01:29:500", 5.014, 0.514, 2.578, 37.
"00:01:29:510", 5.022, 0.387, 1.946, 37.
"00:01:29:520", 5.022, 0.387, 1.946, 37.
"00:01:29:530", 5.014, 0.474, 2.376, 37.
"00:01:29:540", 5.011, 0.521, 2.609, 37.
"00:01:29:550", 5.014, 0.502, 2.518, 37.
"00:01:29:560", 5.012, 0.549, 2.751, 37.
"00:01:29:570", 5.011, 0.545, 2.733, 37.
"00:01:29:580", 5.012, 0.498, 2.495, 37.
"00:01:29:590", 5.025, 0.340, 1.707, 37.
"00:01:29:600", 5.015, 0.461, 2.314, 37.
"00:01:29:610", 5.015, 0.525, 2.631, 37.
"00:01:29:620", 5.012, 0.507, 2.540, 37.
"00:01:29:630", 5.011, 0.543, 2.723, 37.
"00:01:29:640", 5.010, 0.539, 2.703, 37.
"00:01:29:650", 5.024, 0.331, 1.665, 37.
"00:01:29:660", 5.017, 0.374, 1.877, 37.
"00:01:29:670", 5.014, 0.500, 2.508, 37.
"00:01:29:680", 5.011, 0.516, 2.586, 37.
"00:01:29:690", 5.012, 0.507, 2.542, 37.
"00:01:29:700", 5.012, 0.524, 2.627, 37.
"00:01:29:710", 5.014, 0.498, 2.498, 37.
"00:01:29:720", 5.014, 0.504, 2.528, 37.
"00:01:29:730", 5.012, 0.477, 2.393, 37.
"00:01:29:740", 5.021, 0.345, 1.731, 37.
"00:01:29:750", 5.020, 0.400, 2.010, 37.
"00:01:29:760", 5.014, 0.471, 2.363, 37.
"00:01:29:770", 5.012, 0.550, 2.759, 37.
"00:01:29:780", 5.014, 0.501, 2.510, 37.
"00:01:29:790", 5.012, 0.546, 2.736, 37.
"00:01:29:800", 5.012, 0.548, 2.746, 37.
"00:01:29:810", 5.019, 0.324, 1.626, 37.
"00:01:29:820", 5.012, 0.554, 2.779, 37.
"00:01:29:830", 5.006, 0.634, 3.173, 37.
"00:01:29:840", 5.012, 0.544, 2.726, 37.
"00:01:29:850", 5.014, 0.497, 2.490, 37.
"00:01:29:860", 5.012, 0.539, 2.701, 37.
"00:01:29:870", 5.016, 0.472, 2.367, 37.
"00:01:29:880", 5.021, 0.334, 1.676, 37.
"00:01:29:890", 5.020, 0.556, 2.793, 37.
"00:01:29:900", 5.010, 0.646, 3.235, 37.
"00:01:29:910", 5.010, 0.646, 3.235, 37.
"00:01:29:920", 5.014, 0.547, 2.744, 37.
"00:01:29:930", 5.011, 0.550, 2.758, 37.
"00:01:29:940", 5.014, 0.543, 2.722, 37.
"00:01:29:950", 5.014, 0.478, 2.398, 37.
"00:01:29:960", 5.021, 0.328, 1.646, 37.
"00:01:29:970", 5.010, 0.543, 2.720, 37.
"00:01:29:980", 5.011, 0.546, 2.738, 37.
"00:01:29:990", 5.015, 0.511, 2.561, 37.
"00:01:30:000", 5.012, 0.536, 2.689, 37.
"00:01:30:010", 5.012, 0.545, 2.734, 37.
"00:01:30:020", 5.012, 0.490, 2.455, 37.
"00:01:30:030", 5.021, 0.355, 1.784, 37.
"00:01:30:040", 5.015, 0.454, 2.277, 37.
"00:01:30:050", 5.014, 0.539, 2.702, 37.
"00:01:30:060", 5.012, 0.521, 2.609, 37.
"00:01:30:070", 5.011, 0.527, 2.641, 37.
"00:01:30:080", 5.014, 0.536, 2.690, 37.
"00:01:30:090", 5.012, 0.483, 2.420, 37.
"00:01:30:100", 5.020, 0.336, 1.688, 37.
"00:01:30:110", 5.015, 0.451, 2.262, 37.
"00:01:30:120", 5.015, 0.451, 2.262, 37.
"00:01:30:130", 5.014, 0.505, 2.533, 37.
"00:01:30:140", 5.012, 0.545, 2.734, 37.
"00:01:30:150", 5.011, 0.517, 2.591, 37.
"00:01:30:160", 5.019, 0.367, 1.840, 37.
"00:01:30:170", 5.021, 0.337, 1.694, 37.
"00:01:30:180", 5.015, 0.471, 2.364, 37.
"00:01:30:190", 5.012, 0.542, 2.716, 37.
"00:01:30:200", 5.014, 0.502, 2.515, 37.
"00:01:30:210", 5.011, 0.548, 2.748, 37.
"00:01:30:220", 5.011, 0.548, 2.748, 37.
"00:01:30:230", 5.012, 0.524, 2.624, 37.
"00:01:30:240", 5.020, 0.340, 1.706, 37.
"00:01:30:250", 5.012, 0.551, 2.761, 37.
"00:01:30:260", 5.007, 0.614, 3.074, 37.
"00:01:30:270", 5.014, 0.537, 2.695, 37.
"00:01:30:280", 5.015, 0.545, 2.733, 37.
"00:01:30:290", 5.011, 0.575, 2.880, 37.
"00:01:30:300", 5.014, 0.492, 2.468, 37.
"00:01:30:310", 5.022, 0.351, 1.762, 37.
"00:01:30:320", 5.011, 0.560, 2.808, 37.
"00:01:30:330", 5.009, 0.616, 3.085, 37.
"00:01:30:340", 5.012, 0.513, 2.572, 37.
"00:01:30:350", 5.014, 0.532, 2.665, 37.
"00:01:30:360", 5.012, 0.542, 2.716, 37.
"00:01:30:370", 5.015, 0.479, 2.401, 37.
"00:01:30:380", 5.022, 0.328, 1.647, 37.
"00:01:30:390", 5.011, 0.559, 2.800, 37.
"00:01:30:400", 5.009, 0.557, 2.789, 37.
"00:01:30:410", 5.012, 0.526, 2.637, 37.
"00:01:30:420", 5.011, 0.525, 2.629, 37.
"00:01:30:430", 5.011, 0.525, 2.629, 37.
"00:01:30:440", 5.014, 0.547, 2.742, 37.
"00:01:30:450", 5.015, 0.375, 1.878, 37.
"00:01:30:460", 5.021, 0.332, 1.669, 37.
"00:01:30:470", 5.016, 0.478, 2.397, 37.
"00:01:30:480", 5.014, 0.555, 2.784, 37.
"00:01:30:490", 5.012, 0.489, 2.450, 37.
"00:01:30:500", 5.012, 0.576, 2.888, 37.
"00:01:30:510", 5.014, 0.524, 2.627, 37.
"00:01:30:520", 5.016, 0.479, 2.402, 37.
"00:01:30:530", 5.022, 0.346, 1.737, 37.
"00:01:30:540", 5.016, 0.481, 2.412, 37.
"00:01:30:550", 5.016, 0.493, 2.472, 37.
"00:01:30:560", 5.015, 0.484, 2.426, 37.
"00:01:30:570", 5.011, 0.543, 2.721, 37.
"00:01:30:580", 5.012, 0.493, 2.472, 37.
"00:01:30:590", 5.012, 0.541, 2.711, 37.
"00:01:30:600", 5.011, 0.534, 2.676, 37.
"00:01:30:610", 5.024, 0.350, 1.757, 37.
"00:01:30:620", 5.020, 0.339, 1.701, 37.
"00:01:30:630", 5.015, 0.452, 2.264, 37.
"00:01:30:640", 5.011, 0.549, 2.751, 37.
"00:01:30:650", 5.014, 0.491, 2.463, 37.
"00:01:30:660", 5.011, 0.546, 2.736, 37.
"00:01:30:670", 5.014, 0.487, 2.441, 37.
"00:01:30:680", 5.019, 0.359, 1.800, 37.
"00:01:30:690", 5.020, 0.343, 1.723, 37.
"00:01:30:700", 5.007, 0.616, 3.084, 37.
"00:01:30:710", 5.010, 0.543, 2.722, 37.
"00:01:30:720", 5.014, 0.527, 2.642, 37.
"00:01:30:730", 5.011, 0.544, 2.728, 37.
"00:01:30:740", 5.011, 0.544, 2.728, 37.
"00:01:30:750", 5.017, 0.484, 2.428, 37.
"00:01:30:760", 5.012, 0.541, 2.714, 37.
"00:01:30:770", 5.012, 0.541, 2.714, 37.
"00:01:30:780", 5.010, 0.585, 2.931, 37.
"00:01:30:790", 5.012, 0.531, 2.662, 37.
"00:01:30:800", 5.010, 0.536, 2.685, 37.
"00:01:30:810", 5.001, 0.818, 4.091, 37.
"00:01:30:820", 5.014, 0.537, 2.695, 37.
"00:01:30:830", 4.991, 0.961, 4.797, 37.
"00:01:30:840", 4.999, 0.801, 4.005, 37.
"00:01:30:850", 5.000, 0.847, 4.234, 37.
"00:01:30:860", 5.019, 0.418, 2.099, 37.
"00:01:30:870", 5.000, 0.883, 4.413, 37.
"00:01:30:880", 4.996, 0.846, 4.229, 37.
"00:01:30:890", 4.996, 0.804, 4.018, 37.
"00:01:30:900", 5.017, 0.418, 2.099, 37.
"00:01:30:910", 5.011, 0.532, 2.666, 37.
"00:01:30:920", 5.015, 0.530, 2.658, 37.
"00:01:30:930", 5.015, 0.489, 2.454, 37.
"00:01:30:940", 5.011, 0.560, 2.805, 37.
"00:01:30:950", 5.011, 0.545, 2.733, 37.
"00:01:30:960", 5.020, 0.327, 1.643, 37.
"00:01:30:970", 5.017, 0.428, 2.148, 37.
"00:01:30:980", 5.014, 0.511, 2.563, 37.
"00:01:30:990", 5.014, 0.532, 2.665, 37.
"00:01:31:000", 5.014, 0.520, 2.608, 37.
"00:01:31:010", 5.011, 0.547, 2.741, 37.
"00:01:31:020", 5.011, 0.470, 2.357, 37.
"00:01:31:030", 5.022, 0.332, 1.667, 37.
"00:01:31:040", 5.017, 0.426, 2.139, 37.
"00:01:31:050", 5.017, 0.426, 2.139, 37.
"00:01:31:060", 5.012, 0.514, 2.577, 37.
"00:01:31:070", 5.012, 0.540, 2.706, 37.
"00:01:31:080", 5.015, 0.559, 2.802, 37.
"00:01:31:090", 5.015, 0.499, 2.501, 37.
"00:01:31:100", 5.016, 0.475, 2.382, 37.
"00:01:31:110", 5.020, 0.354, 1.778, 37.
"00:01:31:120", 5.010, 0.538, 2.698, 37.
"00:01:31:130", 5.006, 0.609, 3.051, 37.
"00:01:31:140", 5.010, 0.540, 2.705, 37.
"00:01:31:150", 5.015, 0.505, 2.531, 37.
"00:01:31:160", 5.016, 0.490, 2.459, 37.
"00:01:31:170", 5.015, 0.461, 2.314, 37.
"00:01:31:180", 5.021, 0.340, 1.709, 37.
"00:01:31:190", 5.010, 0.535, 2.683, 37.
"00:01:31:200", 5.014, 0.528, 2.647, 37.
"00:01:31:210", 5.012, 0.525, 2.632, 37.
"00:01:31:220", 5.012, 0.564, 2.828, 37.
"00:01:31:230", 5.014, 0.522, 2.617, 37.
"00:01:31:240", 5.016, 0.467, 2.345, 37.
"00:01:31:250", 5.020, 0.336, 1.688, 37.
"00:01:31:260", 5.010, 0.551, 2.760, 37.
"00:01:31:270", 5.012, 0.526, 2.637, 37.
"00:01:31:280", 5.015, 0.499, 2.504, 37.
"00:01:31:290", 5.010, 0.540, 2.705, 37.
"00:01:31:300", 5.014, 0.554, 2.779, 37.
"00:01:31:310", 5.015, 0.482, 2.416, 37.
"00:01:31:320", 5.020, 0.403, 2.022, 37.
"00:01:31:330", 5.014, 0.490, 2.456, 37.
"00:01:31:340", 5.012, 0.511, 2.562, 37.
"00:01:31:350", 5.012, 0.511, 2.562, 37.
"00:01:31:360", 5.012, 0.514, 2.574, 37.
"00:01:31:370", 5.012, 0.514, 2.574, 37.
"00:01:31:380", 5.014, 0.500, 2.505, 37.
"00:01:31:390", 5.012, 0.546, 2.739, 37.
"00:01:31:400", 5.011, 0.542, 2.718, 37.
"00:01:31:410", 5.015, 0.445, 2.232, 37.
"00:01:31:420", 5.016, 0.423, 2.123, 37.
"00:01:31:430", 5.015, 0.507, 2.541, 37.
"00:01:31:440", 5.012, 0.529, 2.649, 37.
"00:01:31:450", 5.014, 0.492, 2.468, 37.
"00:01:31:460", 5.011, 0.553, 2.773, 37.
"00:01:31:470", 5.012, 0.548, 2.746, 37.
"00:01:31:480", 5.021, 0.340, 1.706, 37.
"00:01:31:490", 5.016, 0.433, 2.173, 37.
"00:01:31:500", 5.009, 0.611, 3.063, 37.
"00:01:31:510", 5.011, 0.534, 2.678, 37.
"00:01:31:520", 5.015, 0.517, 2.593, 37.
"00:01:31:530", 5.011, 0.495, 2.482, 37.
"00:01:31:540", 5.015, 0.470, 2.359, 37.
"00:01:31:550", 5.022, 0.339, 1.702, 37.
"00:01:31:560", 5.017, 0.404, 2.026, 37.
"00:01:31:570", 5.006, 0.623, 3.118, 37.
"00:01:31:580", 5.011, 0.500, 2.504, 37.
"00:01:31:590", 5.011, 0.561, 2.813, 37.
"00:01:31:600", 5.015, 0.517, 2.593, 37.
"00:01:31:610", 5.015, 0.480, 2.409, 37.
"00:01:31:620", 5.022, 0.338, 1.699, 37.
"00:01:31:630", 5.014, 0.549, 2.754, 37.
"00:01:31:640", 5.009, 0.645, 3.229, 37.
"00:01:31:650", 5.010, 0.547, 2.740, 37.
"00:01:31:660", 5.011, 0.550, 2.758, 37.
"00:01:31:670", 5.011, 0.550, 2.758, 37.
"00:01:31:680", 5.015, 0.514, 2.578, 37.
"00:01:31:690", 5.015, 0.488, 2.446, 37.
"00:01:31:700", 5.020, 0.326, 1.638, 37.
"00:01:31:710", 5.012, 0.544, 2.729, 37.
"00:01:31:720", 5.011, 0.542, 2.716, 37.
"00:01:31:730", 5.014, 0.504, 2.525, 37.
"00:01:31:740", 5.012, 0.557, 2.794, 37.
"00:01:31:750", 5.012, 0.549, 2.751, 37.
"00:01:31:760", 5.014, 0.489, 2.451, 37.
"00:01:31:770", 5.020, 0.338, 1.698, 37.
"00:01:31:780", 5.011, 0.547, 2.741, 37.
"00:01:31:790", 5.011, 0.547, 2.741, 37.
"00:01:31:800", 5.015, 0.490, 2.456, 37.
"00:01:31:810", 5.012, 0.534, 2.677, 37.
"00:01:31:820", 5.012, 0.515, 2.579, 37.
"00:01:31:830", 5.014, 0.348, 1.746, 37.
"00:01:31:840", 5.020, 0.356, 1.786, 37.
"00:01:31:850", 5.015, 0.451, 2.259, 37.
"00:01:31:860", 5.014, 0.543, 2.722, 37.
"00:01:31:870", 5.015, 0.495, 2.484, 37.
"00:01:31:880", 5.014, 0.546, 2.739, 37.
"00:01:31:890", 5.015, 0.476, 2.389, 37.
"00:01:31:900", 5.022, 0.352, 1.769, 37.
"00:01:31:910", 5.021, 0.350, 1.759, 37.
"00:01:31:920", 5.006, 0.633, 3.170, 37.
"00:01:31:930", 5.012, 0.531, 2.659, 37.
"00:01:31:940", 5.015, 0.489, 2.454, 37.
"00:01:31:950", 5.011, 0.550, 2.758, 37.
"00:01:31:960", 5.011, 0.550, 2.758, 37.
"00:01:31:970", 5.020, 0.364, 1.825, 37.
"00:01:31:980", 5.020, 0.364, 1.825, 37.
"00:01:31:990", 5.021, 0.329, 1.651, 37.
"00:01:32:000", 5.007, 0.612, 3.064, 37.
"00:01:32:010", 5.010, 0.545, 2.730, 37.
"00:01:32:020", 5.011, 0.533, 2.671, 37.
"00:01:32:030", 5.011, 0.565, 2.833, 37.
"00:01:32:040", 5.015, 0.500, 2.509, 37.
"00:01:32:050", 5.019, 0.321, 1.613, 37.
"00:01:32:060", 5.011, 0.547, 2.743, 37.
"00:01:32:070", 5.009, 0.598, 2.995, 37.
"00:01:32:080", 5.011, 0.542, 2.718, 37.
"00:01:32:090", 5.012, 0.528, 2.644, 37.
"00:01:32:100", 5.014, 0.513, 2.573, 37.
"00:01:32:110", 5.014, 0.487, 2.443, 37.
"00:01:32:120", 5.022, 0.335, 1.682, 37.
"00:01:32:130", 5.014, 0.503, 2.523, 37.
"00:01:32:140", 5.012, 0.564, 2.826, 37.
"00:01:32:150", 5.012, 0.524, 2.627, 37.
"00:01:32:160", 5.010, 0.536, 2.688, 37.
"00:01:32:170", 5.015, 0.497, 2.494, 37.
"00:01:32:180", 5.015, 0.484, 2.429, 37.
"00:01:32:190", 5.015, 0.484, 2.429, 37.
"00:01:32:200", 5.022, 0.343, 1.722, 37.
"00:01:32:210", 5.014, 0.497, 2.493, 37.
"00:01:32:220", 5.014, 0.503, 2.523, 37.
"00:01:32:230", 5.014, 0.501, 2.513, 37.
"00:01:32:240", 5.011, 0.577, 2.892, 37.
"00:01:32:250", 5.015, 0.516, 2.588, 37.
"00:01:32:260", 5.014, 0.551, 2.762, 37.
"00:01:32:270", 5.014, 0.529, 2.650, 37.
"00:01:32:280", 5.015, 0.495, 2.484, 37.
"00:01:32:290", 5.025, 0.339, 1.705, 37.
"00:01:32:300", 5.010, 0.459, 2.302, 37.
"00:01:32:310", 5.011, 0.540, 2.708, 37.
"00:01:32:320", 5.014, 0.496, 2.488, 37.
"00:01:32:330", 5.011, 0.544, 2.726, 37.
"00:01:32:340", 5.012, 0.539, 2.704, 37.
"00:01:32:350", 5.015, 0.370, 1.856, 37.
"00:01:32:360", 5.022, 0.335, 1.684, 37.
"00:01:32:370", 5.015, 0.457, 2.292, 37.
"00:01:32:380", 5.012, 0.546, 2.736, 37.
"00:01:32:390", 5.015, 0.492, 2.469, 37.
"00:01:32:400", 5.011, 0.539, 2.703, 37.
"00:01:32:410", 5.014, 0.502, 2.515, 37.
"00:01:32:420", 5.020, 0.388, 1.950, 37.
"00:01:32:430", 5.011, 0.526, 2.634, 37.
"00:01:32:440", 5.010, 0.589, 2.951, 37.
"00:01:32:450", 5.011, 0.545, 2.733, 37.
"00:01:32:460", 5.015, 0.495, 2.484, 37.
"00:01:32:470", 5.010, 0.556, 2.787, 37.
"00:01:32:480", 5.016, 0.497, 2.494, 37.
"00:01:32:490", 5.019, 0.376, 1.885, 37.
"00:01:32:500", 5.019, 0.376, 1.885, 37.
"00:01:32:510", 5.024, 0.334, 1.680, 37.
"00:01:32:520", 5.010, 0.565, 2.832, 37.
"00:01:32:530", 5.014, 0.534, 2.680, 37.
"00:01:32:540", 5.011, 0.536, 2.688, 37.
"00:01:32:550", 5.009, 0.563, 2.819, 37.
"00:01:32:560", 5.012, 0.477, 2.393, 37.
"00:01:32:570", 5.021, 0.335, 1.681, 37.
"00:01:32:580", 5.014, 0.503, 2.523, 37.
"00:01:32:590", 5.011, 0.572, 2.868, 37.
"00:01:32:600", 5.011, 0.528, 2.646, 37.
"00:01:32:610", 5.014, 0.513, 2.570, 37.
"00:01:32:620", 5.012, 0.483, 2.423, 37.
"00:01:32:630", 5.015, 0.473, 2.374, 37.
"00:01:32:640", 5.020, 0.325, 1.631, 37.
"00:01:32:650", 5.014, 0.500, 2.508, 37.
"00:01:32:660", 5.012, 0.586, 2.935, 37.
"00:01:32:670", 5.011, 0.530, 2.656, 37.
"00:01:32:680", 5.012, 0.511, 2.560, 37.
"00:01:32:690", 5.014, 0.492, 2.466, 37.
"00:01:32:700", 5.014, 0.478, 2.398, 37.
"00:01:32:710", 5.020, 0.342, 1.718, 37.
"00:01:32:720", 5.010, 0.553, 2.770, 37.
"00:01:32:730", 5.014, 0.517, 2.590, 37.
"00:01:32:740", 5.012, 0.496, 2.487, 37.
"00:01:32:750", 5.010, 0.559, 2.800, 37.
"00:01:32:760", 5.015, 0.543, 2.723, 37.
"00:01:32:770", 5.017, 0.426, 2.139, 37.
"00:01:32:780", 5.012, 0.474, 2.378, 37.
"00:01:32:790", 5.011, 0.548, 2.746, 37.
"00:01:32:800", 5.012, 0.526, 2.634, 37.
"00:01:32:810", 5.012, 0.526, 2.634, 37.
"00:01:32:820", 5.014, 0.505, 2.530, 37.
"00:01:32:830", 5.011, 0.550, 2.756, 37.
"00:01:32:840", 5.014, 0.549, 2.754, 37.
"00:01:32:850", 5.017, 0.349, 1.752, 37.
"00:01:32:860", 5.012, 0.455, 2.278, 37.
"00:01:32:870", 5.012, 0.543, 2.721, 37.
"00:01:32:880", 5.012, 0.526, 2.634, 37.
"00:01:32:890", 5.014, 0.513, 2.570, 37.
"00:01:32:900", 5.012, 0.551, 2.764, 37.
"00:01:32:910", 5.010, 0.539, 2.703, 37.
"00:01:32:920", 5.016, 0.422, 2.118, 37.
"00:01:32:930", 5.015, 0.457, 2.292, 37.
"00:01:32:940", 5.010, 0.602, 3.014, 37.
"00:01:32:950", 5.009, 0.554, 2.774, 37.
"00:01:32:960", 5.012, 0.520, 2.607, 37.
"00:01:32:970", 5.014, 0.565, 2.832, 37.
"00:01:32:980", 5.015, 0.468, 2.349, 37.
"00:01:32:990", 5.020, 0.324, 1.628, 37.
"00:01:33:000", 5.015, 0.431, 2.160, 37.
"00:01:33:010", 5.010, 0.598, 2.996, 37.
"00:01:33:020", 5.010, 0.598, 2.996, 37.
"00:01:33:030", 5.010, 0.571, 2.859, 37.
"00:01:33:040", 5.012, 0.476, 2.385, 37.
"00:01:33:050", 5.015, 0.489, 2.454, 37.
"00:01:33:060", 5.022, 0.348, 1.747, 37.
"00:01:33:070", 5.012, 0.521, 2.609, 37.
"00:01:33:080", 5.014, 0.528, 2.645, 37.
"00:01:33:090", 5.009, 0.494, 2.473, 37.
"00:01:33:100", 5.009, 0.585, 2.931, 37.
"00:01:33:110", 5.011, 0.534, 2.678, 37.
"00:01:33:120", 5.011, 0.534, 2.678, 37.
"00:01:33:130", 5.011, 0.526, 2.634, 37.
"00:01:33:140", 5.014, 0.484, 2.426, 37.
